Clinical indication,Modality,Notes (Streamlined),Last reviewed,Source
Dizziness and Ataxia,CT Head without IV contrast (initial); MRI Brain without IV contrast if indicated,CT rules out hemorrhage; MRI preferred for posterior circulation or chronic symptoms. MRI preferred in younger patients or if CT negative. Use CT first in acute setting; MRI if symptoms persist or focal findings present.,2025-04-12,ACR Appropriateness Criteria®
Cervical Pain or Cervical Radiculopathy,MRI Cervical Spine without IV contrast (first-line),MRI for nerve root or spinal cord compression; CT for trauma or bone detail. Use CT myelogram if MRI is contraindicated. Use MRI with neurologic symptoms or red flags.,2025-04-12,ACR Appropriateness Criteria®
Suspected Stroke,CT Head without IV contrast (first-line); CTA and/or MRI Brain with IV contrast if indicated,CT rules out bleed; CTA/MRI assess for ischemia or LVO. MRI preferred in pregnancy or if CT is inconclusive. CT first; add CTA/MRI for thrombectomy evaluation or detailed assessment.,2025-04-12,ACR Appropriateness Criteria®
"Aneurysm, Vascular Malformation, and SAH",CT Head without IV contrast; CTA Head with IV contrast or LP (if needed),CT detects subarachnoid hemorrhage (SAH); CTA for aneurysm; LP if CT/CTA negative but suspicion remains. Avoid contrast if renal failure unless essential. CT within 6 hours of headache onset; CTA or LP based on clinical risk.,2025-04-12,ACR Appropriateness Criteria®
"Altered Mental Status, Coma, Delirium, Psychiatric Symptoms",CT Head without IV contrast (first-line); MRI Brain without IV contrast if CT is negative,"CT rules out mass, bleed, hydrocephalus; MRI adds sensitivity for subtle causes. Use CT in unstable or trauma patients; MRI as follow-up. CT is foundational in initial AMS workup; MRI for persistent symptoms or unclear cause.",2025-04-12,ACR Appropriateness Criteria®
Syncope,CT Head without IV contrast (if trauma or neuro signs); Echocardiogram (TTE) if cardiac concern,"CT not needed in low-risk cases; indicated if fall or neuro signs. Image elderly or anticoagulated if head trauma suspected. Use clinical rules (e.g., Canadian Syncope Rule); image only if red flags.",2025-04-11,ACR Appropriateness Criteria®
Suspected or Known Heart Failure,Chest X-ray; Transthoracic Echocardiogram (TTE); Cardiac CT or MRI with IV contrast if needed,CXR and echo for diagnosis; use advanced imaging for complex cases. Use bedside echo in unstable patients. Start with echo and CXR; add cardiac CT/MRI if unclear.,2025-04-11,ACR Appropriateness Criteria®
Suspected Acute Aortic Syndrome,CTA Chest/Abdomen/Pelvis with IV contrast (first-line); Transesophageal Echocardiogram (TEE) if CTA unavailable,CTA is gold standard; TEE if CTA unavailable or patient unstable. Use TEE in contrast allergy or hemodynamic instability. CTA for stable patients with chest/back pain and suspicion.,2025-04-11,ACR Appropriateness Criteria®
Infective Endocarditis,Transthoracic Echocardiogram (TTE); Transesophageal Echocardiogram (TEE) if needed,TTE first; escalate to TEE based on clinical suspicion. TEE preferred in prosthetic valve or poor window. Start with TTE; proceed to TEE if suspicion remains high.,2025-04-11,ACR Appropriateness Criteria®
Acute Respiratory Illness in Immunocompromised Patient,Chest X-ray (initial); CT Chest with IV contrast if indicated,X-ray first; CT for atypical infections or if X-ray negative and symptoms persist. Use low-dose CT; consider early CT in transplant or neutropenic patients. Start with chest X-ray unless critically ill; follow with CT if worsening or unclear.,2025-04-12,ACR Appropriateness Criteria®
Acute Respiratory Illness in Immunocompetent Patient,Chest X-ray,"First-line for fever, cough, or suspected pneumonia. Minimize CT use in low-risk or younger patients. Start with X-ray; escalate to CT if diagnosis unclear or patient worsens.",2025-04-12,ACR Appropriateness Criteria®
Penetrating Torso Trauma,CT Chest/Abdomen/Pelvis with IV contrast,CT is first-line in stable patients to evaluate for bleeding and organ injury. Tailor imaging in children; minimize unnecessary radiation. CT indicated in stable patients; add delayed imaging for suspected vascular injury.,2025-04-12,ACR Appropriateness Criteria®
Major Blunt Trauma,"CT Head and C-spine without IV contrast; CT Chest, Abdomen, and Pelvis with IV contrast",Whole-body CT increases detection in polytrauma; use selectively. Minimize scans in children and stable adults without significant findings. Indicated for altered mental status or high-risk trauma mechanism.,2025-04-12,ACR Appropriateness Criteria®
Urinary Tract Infection – Child,Renal and Bladder Ultrasound,First-line for febrile UTI in children to assess anatomy. Avoid routine VCUG after first UTI unless indicated by guidelines. Start with ultrasound; do VCUG only if abnormal US or recurrent UTI.,2025-04-12,ACR Appropriateness Criteria®
Second and Third Trimester Vaginal Bleeding,Transabdominal and Transvaginal Ultrasound; MRI Pelvis with IV contrast if needed,"Ultrasound assesses placenta previa, abruption, fetal viability. Use caution with TVUS in previa; MRI if abnormal placentation suspected. Start with ultrasound; MRI if diagnosis unclear or concern for invasion.",2025-04-12,ACR Appropriateness Criteria®
Postpartum Hemorrhage,Transabdominal and Transvaginal Ultrasound (first-line),"Ultrasound detects retained products, atony, hematoma. MRI used if ultrasound equivocal and patient stable. Use ultrasound first; MRI if bleeding persists and etiology unclear.",2025-04-12,ACR Appropriateness Criteria®
Postmenopausal Acute Pelvic Pain,Transvaginal Ultrasound; MRI Pelvis with IV contrast if needed,"TVUS assesses masses, torsion, or bleeding source. MRI clarifies complex adnexal masses. Begin with TVUS; MRI if TVUS findings indeterminate.",2025-04-12,ACR Appropriateness Criteria®
Acute Pelvic Pain in Reproductive Age,Transvaginal and Transabdominal Ultrasound; CT or MRI Pelvis with IV contrast if needed,"US evaluates torsion, ectopic, cyst, or PID. Avoid CT in pregnancy unless essential. Start with US; use CT or MRI if findings unclear or pain persists.",2025-04-12,ACR Appropriateness Criteria®
Abnormal Uterine Bleeding,Transvaginal Ultrasound,"TVUS assesses endometrium, polyps, fibroids. Tailor based on age and menopausal status. TVUS first; use sonohysterography or MRI if inconclusive.",2025-04-12,ACR Appropriateness Criteria®
Hematuria – Child,Renal and Bladder Ultrasound,Initial test for gross or microscopic hematuria; avoids radiation. Avoid CT unless trauma or concern for mass/stone. Start with ultrasound in all pediatric hematuria cases.,2025-04-12,ACR Appropriateness Criteria®
Headache – Child,MRI Brain without IV contrast (preferred); CT Head without IV contrast if urgent,"No imaging needed for typical migraine or tension headaches. Prefer MRI; CT only if red flags or rapid diagnosis needed. Use imaging only if red flags, abnormal neuro exam, or worsening symptoms.",2025-04-12,ACR Appropriateness Criteria®
Head Trauma – Child,CT Head without IV contrast (if indicated by PECARN),CT only for high-risk features; follow PECARN or similar rule. Minimize CT in low-risk patients. Use clinical decision rules to guide imaging need.,2025-04-12,ACR Appropriateness Criteria®
Fever Without Source or Unknown Origin – Child,Chest X-ray; Abdominal Ultrasound; MRI Abdomen with IV contrast or Nuclear Medicine if prolonged,Tailor imaging to clinical scenario; start with CXR and US. Sedation may be required for MRI in younger children. Use chest X-ray and US first; escalate based on duration and concern.,2025-04-12,ACR Appropriateness Criteria®
Cerebrovascular Disease – Child,MRI Brain with IV contrast and DWI; MRA/MRV Head and Neck with IV contrast,"MRI preferred to detect ischemic stroke or vascular anomalies. Sedation often required in younger children. Use MRI/MRA for stroke, TIA, or unexplained neuro deficits.",2025-04-12,ACR Appropriateness Criteria®
Thoracic Back Pain,MRI Thoracic Spine without IV contrast (preferred),"Use only if red flags are present (trauma, fever, neuro signs). Use MRI to minimize radiation; CT if MRI contraindicated. Avoid imaging for nonspecific pain; MRI if concern for serious pathology.",2025-04-12,ACR Appropriateness Criteria®
