Clinical Indication,Modality,canonical,synonyms
Suspected intracranial hemorrhage. Initial imaging.,CT Head without IV contrast ,suspected intracranial hemorrhage initial imaging,Suspected intracranial hemorrhage. Initial imaging.|suspected intracranial hemorrhage initial imaging
Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.,CTA head with IV contrast; Arteriography cervicocerebral,known acute subarachnoid hemorrhage subarachnoid hemorrhage on ct next imaging study,Known acute subarachnoid hemorrhage (SAH) on CT. Next imaging study.|known acute subarachnoid hemorrhage subarachnoid hemorrhage on ct next imaging study
Suspected ischemic stroke,Follow imaging protocol per evaluation by stroke service,suspected ischemic stroke,Suspected ischemic stroke|suspected ischemic stroke
Major trauma,Follow imaging protocol per evaluation by trauma service,major trauma,Major trauma|major trauma
Suspected cervical vascular dissection or injury. Initial imaging.,CT Head without IV contrast; CTA neck with IV contrast; MRA neck with IV contrast ,suspected cervical vascular dissection or injury initial imaging,Suspected cervical vascular dissection or injury. Initial imaging.|suspected cervical vascular dissection or injury initial imaging
Suspected dural venous sinus thrombosis. Initial imaging.,CT head without IV contrast; CTV head with IV contrast; MRV head without IV contrast; MRV head without and with IV contrast; MRI head without IV contrast; MRI head without and with IV contrast ,suspected dural venous sinus thrombosis initial imaging,Suspected dural venous sinus thrombosis. Initial imaging.|suspected dural venous sinus thrombosis initial imaging
Venous thoracic outlet syndrome,Radiography chest; CT chest with IV contrast; US duplex Doppler subclavian artery and vein; Catheter venography upper extremity ,venous thoracic outlet syndrome,Venous thoracic outlet syndrome|venous thoracic outlet syndrome
Suspected Acute Aortic Syndrome,CTA aorta dissection protocol,suspected acute aortic syndrome,Suspected Acute Aortic Syndrome|suspected acute aortic syndrome
"Infective Endocarditis, initial imaging",Transthoracic Echocardiogram (TTE); chest radiograph; Cardiac CT structure and morphology if patient cannot undergo TTE ,infective endocarditis initial imaging,"Infective Endocarditis, initial imaging|infective endocarditis initial imaging"
"Respiratory illness, acute, immunodeficiency, infection suspected, radiography done",CT chest without IV contrast,respiratory illness acute immunodeficiency infection suspected radiography done,"Respiratory illness, acute, immunodeficiency, infection suspected, radiography done|respiratory illness acute immunodeficiency infection suspected radiography done"
"Respiratory illness, acute, immunocompetent, abnormal vital signs, chest radiography indeterminate, next imaging study",CT chest without IV contrast; CT chest with IV contrast,respiratory illness acute immunocompetent abnormal vital signs chest radiography indeterminate next imaging study,"Respiratory illness, acute, immunocompetent, abnormal vital signs, chest radiography indeterminate, next imaging study|respiratory illness acute immunocompetent abnormal vital signs chest radiography indeterminate next imaging study"
"Vaginal bleeding, first trimester, initial imaging.",US pelvis transabodominal and transvaginal ,vaginal bleeding first trimester initial imaging,"Vaginal bleeding, first trimester, initial imaging.|vaginal bleeding first trimester initial imaging"
Postpartum Hemorrhage,US pelvis transabodominal and transvaginal ,postpartum hemorrhage,Postpartum Hemorrhage|postpartum hemorrhage
"Acute Pelvic Pain in Reproductive Age, positive β-hCG. Initial imaging.",US pelvis transabodominal and transvaginal ,acute pelvic pain in reproductive age positive hcg initial imaging,"Acute Pelvic Pain in Reproductive Age, positive β-hCG. Initial imaging.|acute pelvic pain in reproductive age positive hcg initial imaging"
"Acute Pelvic Pain in Reproductive Age, non gynecological etiology susbected, negative β-hCG. Initial imaging.",US pelvis transabodominal and transvaginal; CT abdomen and pelvis with IV contrast,acute pelvic pain in reproductive age non gynecological etiology susbected negative hcg initial imaging,"Acute Pelvic Pain in Reproductive Age, non gynecological etiology susbected, negative β-hCG. Initial imaging.|acute pelvic pain in reproductive age non gynecological etiology susbected negative hcg initial imaging"
"Acute Pelvic Pain in Reproductive Age, gynecological etiology susbected, negative β-hCG. Initial imaging.",US pelvis transabodominal and transvaginal,acute pelvic pain in reproductive age gynecological etiology susbected negative hcg initial imaging,"Acute Pelvic Pain in Reproductive Age, gynecological etiology susbected, negative β-hCG. Initial imaging.|acute pelvic pain in reproductive age gynecological etiology susbected negative hcg initial imaging"
"Acute Pelvic Pain, postmenopausal. Initial imaging.",US pelvis transabodominal and transvaginal; CT abdomen and pelvis with IV contrast,acute pelvic pain postmenopausal initial imaging,"Acute Pelvic Pain, postmenopausal. Initial imaging.|acute pelvic pain postmenopausal initial imaging"
Abnormal Uterine Bleeding. Initial Imaging.,US pelvis transabodominal and transvaginal ,abnormal uterine bleeding initial imaging,Abnormal Uterine Bleeding. Initial Imaging.|abnormal uterine bleeding initial imaging
Suspected Spine Infection,MRI Spine with and without IV contrast ,suspected spine infection,Suspected Spine Infection|suspected spine infection
"Penetrating Neck trauma, clinical soft tissue injurysigns",CTA Neck with IV contrast,penetrating neck trauma clinical soft tissue injurysigns,"Penetrating Neck trauma, clinical soft tissue injurysigns|penetrating neck trauma clinical soft tissue injurysigns"
Acute onset myelopathy,MRI Spine with and without IV contras; MRI Spine without IV contrast,acute onset myelopathy,Acute onset myelopathy|acute onset myelopathy
Suspected Nonvariceal Upper Gastrointestinal Bleeding,Endoscopy (first-line); CTA Abdomen/Pelvis without and with IV contrast GI bleed protocol,suspected nonvariceal upper gastrointestinal bleeding,Suspected Nonvariceal Upper Gastrointestinal Bleeding|suspected nonvariceal upper gastrointestinal bleeding
Jaundice,Ultrasound abdomen; CT Abdomen with IV contrast; MRI abdomen/MRCP without and with IV contrast,jaundice,Jaundice|jaundice
Mesenteric Ischemia,"CTA Abdomen and Pelvis with IV contrast, ischemic bowel protocol",mesenteric ischemia,Mesenteric Ischemia|mesenteric ischemia
"Suspected abdominal wall hernia. 
Initial imaging.",CT Abdomen/Pelvis with IV contrast; CT Abdomen/Pelvis without IV contrast; Ultrasound abdomen,suspected abdominal wall hernia initial imaging,"Suspected abdominal wall hernia. 
Initial imaging.|suspected abdominal wall hernia initial imaging"
